genre,total_count,year,danceability,energy,instrumentalness,speechiness,tempo,valence
eurodance,12,1978,0.69175,0.80025,0.1438139075,0.0494916666666667,112.685916666667,0.865166666666667
eurodance,15,1979,0.7554,0.8006,0.0870142893333333,0.0526133333333333,120.8416,0.913466666666667
eurodance,2,1980,0.7405,0.9625,0.0505227,0.0396,119.191,0.9315
eurodance,17,1981,0.715352941176471,0.729058823529412,0.0385423417647059,0.0457294117647059,112.441588235294,0.812470588235294
eurodance,8,1982,0.701875,0.841,0.12098375,0.0456125,135.3705,0.595125
eurodance,16,1983,0.659625,0.653625,0.126205158125,0.042675,125.8084375,0.66775
eurodance,44,1984,0.730113636363636,0.723863636363636,0.0588747661363636,0.0526522727272727,119.463272727273,0.776136363636364
eurodance,50,1985,0.74306,0.72842,0.1261277356,0.04705,115.01126,0.81242
eurodance,54,1986,0.716259259259259,0.641092592592593,0.0798304307407408,0.0388962962962963,116.027481481481,0.857074074074074
eurodance,68,1987,0.691764705882353,0.798485294117647,0.22146527,0.0475514705882353,116.610647058824,0.776308823529412
eurodance,133,1988,0.671330827067669,0.821398496240601,0.284211449774436,0.0439977443609023,118.519631578947,0.780090225563909
eurodance,94,1989,0.659382978723404,0.783776595744681,0.251079650957447,0.0523914893617021,120.644744680851,0.74868085106383
eurodance,183,1990,0.675431693989071,0.777398907103825,0.178706754644809,0.0544136612021858,123.204016393443,0.728613114754099
eurodance,228,1991,0.692543859649123,0.770232456140351,0.233562222850877,0.0518385964912281,119.239640350877,0.68505701754386
eurodance,311,1992,0.671369774919614,0.754202572347267,0.214682608971061,0.0453254019292604,120.451318327974,0.687783279742766
eurodance,370,1993,0.681597297297298,0.783386486486487,0.234322416621622,0.0467854054054054,124.517791891892,0.687840810810811
eurodance,432,1994,0.6936875,0.80244212962963,0.209989670347222,0.0488627314814815,129.708326388889,0.667803935185186
eurodance,690,1995,0.669872463768116,0.829036231884058,0.212841706463768,0.0499650724637681,135.335394202898,0.653456086956521
eurodance,628,1996,0.671764331210191,0.822023885350319,0.250881408901274,0.0525555732484077,135.717945859873,0.620448407643312
eurodance,515,1997,0.679833009708738,0.845248543689321,0.267436723203883,0.0561978640776699,131.059996116505,0.646395922330098
eurodance,702,1998,0.693106837606838,0.839962962962963,0.303407983475783,0.0568589743589743,130.067296296296,0.653800000000001
eurodance,644,1999,0.687267080745342,0.873394409937888,0.239996836506211,0.0532045031055901,129.535344720497,0.673904192546585
eurodance,584,2000,0.681381849315068,0.867297945205479,0.258610882893836,0.0494931506849315,131.405147260274,0.671988698630138
eurodance,535,2001,0.671932710280374,0.856931962616823,0.327044001626168,0.0538267289719626,130.520435514019,0.593246728971963
eurodance,670,2002,0.636244776119403,0.878694029850748,0.282229003134329,0.0528070149253732,135.181505970149,0.518908656716418
eurodance,555,2003,0.657111711711712,0.866578378378377,0.296348881261261,0.0542536936936936,131.368246846847,0.572473873873874
eurodance,566,2004,0.640577738515901,0.863606007067138,0.268975840477032,0.0603054770318022,132.496189045936,0.528352826855124
eurodance,837,2005,0.657033452807646,0.878617682198328,0.230960545436081,0.0595335722819594,132.286047789725,0.567210752688172
eurodance,1090,2006,0.658279816513761,0.870314678899083,0.208776965412844,0.056891009174312,133.900432110092,0.601193027522937
eurodance,1444,2007,0.657627423822715,0.860868421052631,0.265735558580332,0.0603068559556785,131.499275623269,0.585533656509695
eurodance,1506,2008,0.670662682602921,0.854181938911023,0.195443104794157,0.0690811420982735,132.879602257636,0.57616128818061
eurodance,2148,2009,0.677185288640596,0.844424115456239,0.235378230623836,0.0623113594040969,131.851674115456,0.593144646182496
eurodance,2206,2010,0.677406618313689,0.850228014505894,0.206606728980055,0.0665467361740707,132.561766092475,0.60089474161378
eurodance,2055,2011,0.67419708029197,0.826108029197079,0.202407039907542,0.0673591240875913,130.936866180049,0.560045742092457
eurodance,1900,2012,0.673976315789474,0.825500000000002,0.22470889726842,0.0689195263157896,131.887304736842,0.562331157894737
eurodance,2227,2013,0.643459811405478,0.863499326448136,0.235139634822631,0.0693114952851369,134.603647058823,0.536711046250561
eurodance,1904,2014,0.658041491596637,0.851463760504202,0.171457432016806,0.0765053046218488,131.842255252101,0.534786764705883
eurodance,2114,2015,0.651838694418161,0.853454115421004,0.172806819210028,0.0748259697256387,130.774614001892,0.536456480605488
eurodance,1665,2016,0.658756756756755,0.844962762762764,0.16969559996997,0.0618627027027027,130.731853453453,0.570223063063063
eurodance,1540,2017,0.66682922077922,0.865134415584413,0.201838886240259,0.0725245454545454,132.013332467532,0.553652662337664
europop,1,1960,0.62,0.834,1.29e-05,0.0451,150.104,0.891
europop,1,1967,0.522,0.901,1.04e-06,0.0308,93.156,0.911
europop,15,1968,0.488466666666667,0.580866666666667,2.81e-06,0.0328266666666667,126.304266666667,0.598333333333333
europop,12,1969,0.524916666666667,0.62975,4.77916666666667e-06,0.06285,127.8805,0.732416666666667
europop,10,1970,0.5809,0.5413,0.002981474,0.04369,113.068,0.5127
europop,8,1971,0.561,0.482375,9.9375e-07,0.032075,108.793875,0.599125
europop,36,1973,0.581361111111111,0.646166666666666,0.0271117683333333,0.0563083333333333,132.177444444444,0.757444444444444
europop,41,1974,0.502,0.758243902439024,0.0335123395121951,0.101178048780488,124.441585365854,0.685512195121951
